,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\AnotherRag.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Bach.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Beethoven.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Breathless.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Chopin.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\ComingHome.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\FromTheWillowsKeep.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\InventionNo1.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\InventionNo2.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\InventionNo3.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Mahler.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Mazurka.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Messiaen.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Mozart.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\MozartActI.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\MozartActII.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Prescience.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\SonataI.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\SonataII.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\SpaceTime.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Suite.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Vivaldi.wav
23,0.0,0.0,905.9207936690157,1026.5477061058166,0.0,2668.160160279982,2091.037133950266,0.0,0.0,0.0,856.9277833749849,0.0,1051.8588585303842,0.0,372.02177630967606,425.58785895691585,813.6613141220901,0.0,0.0,0.0,2554.5916345946143,2511.6459348521375
24,0.0,0.0,843.9931407788639,995.5475202947745,0.0,2494.7721593438873,2143.890046413756,0.0,0.0,0.0,888.8842839761801,0.0,1036.6080526726453,0.0,381.7583050734738,324.59323185445703,826.0228197768453,0.0,0.0,0.0,2823.0912265197658,2491.1570690762123
25,0.0,0.0,789.8450484876497,1019.100296394831,0.0,2510.7676567987846,2132.3032953921283,0.0,0.0,0.0,905.6186655421805,0.0,1016.981450818924,0.0,362.781010467021,340.40491277926117,835.6988663966681,0.0,0.0,0.0,2907.0125087191436,2343.7806153449305
26,0.0,0.0,767.5399289161812,1016.9488224040767,0.0,2734.1340622877156,2092.857132177961,0.0,0.0,0.0,924.7436183461884,0.0,967.5005689310858,0.0,363.4507542996393,336.8289835725112,799.608379872008,0.0,0.0,0.0,2894.2495381408835,2120.5322118023482
27,0.0,0.0,740.2578096290285,1050.9710720568391,0.0,2913.3566566963073,2064.2259119489213,0.0,0.0,5122.618104192333,938.219934320394,0.0,941.8978802170625,0.0,372.94839577360756,331.88264520430903,791.9111584913072,0.0,1646.630817379023,0.0,3121.267235289803,1963.6855561062155
28,1955.4359077015024,0.0,717.4295429846139,1057.2282087457456,0.0,2900.168722912306,2091.9786664143107,0.0,1812.4518771380556,1581.4163780608537,948.097582662227,2035.7084388580413,941.5136774622373,0.0,609.0478392383123,709.7873833996127,837.5301014790667,2035.6990397354516,1310.4575782095137,0.0,3195.1847505501178,1956.08295885911
29,1819.8829898873182,0.0,704.4815470088633,1034.7681270626738,0.0,2922.149228932893,2110.2429922973015,0.0,1022.8933207510164,984.9772471105085,970.4821659187202,1663.995924701619,976.3233701026886,0.0,1382.1838069852208,1124.3895748359646,894.6863022855149,1431.1973003825735,1007.6302364674086,0.0,3557.151734950314,2142.834142659363
30,1267.0023154741516,0.0,738.5460204820396,1075.8641239552517,0.0,2806.1123315753957,2124.8824992692516,1113.8492466993223,1026.3111236303293,632.8545124347394,1007.3853186468473,1617.3022113191405,995.0099935411083,0.0,1869.1212621735594,1624.7908898330415,905.7238570932241,1285.708708139155,530.8476304014464,0.0,3251.753709325186,2292.772776096014
31,977.3365519735563,0.0,735.4446495230086,1113.3600364101237,0.0,2718.8241479425396,2108.516404450333,642.175507953477,1104.652516397477,557.2464341814783,1022.9047488379908,1089.5989018551627,983.1831164569061,0.0,2366.3057927600944,2946.5307213544916,993.5944591388669,1206.5144233621998,479.72562635713473,0.0,3180.03355891922,2233.968943341273
32,787.8279916455369,0.0,747.4551496835427,1141.431619722427,0.0,2668.9580597600398,2123.839223032813,763.383891357835,921.5410666041407,548.730987621501,927.8831528679069,1094.77779309243,1041.3356261034344,0.0,2431.242651343676,3063.3357764061975,1051.9580793096957,1107.198540395892,471.71862864477373,10324.766840983262,1714.1032625877804,2065.5950928428906
