,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell.wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor_Op_74.wav","Trio for Piano Flute and Bassoon.wav","What_shall_I_make_of_you_Ephraim.wav",piano-concerto-no1-in-g-minor.wav,IA_AnotherRag.wav,IA_Bach.wav,IA_Beethoven.wav,IA_Breathless.wav,IA_Chopin.wav,IA_ComingHome.wav,IA_FromTheWillowsKeep.wav,IA_InventionNo1.wav,IA_InventionNo2.wav,IA_InventionNo3.wav,IA_Mahler.wav,IA_Mazurka.wav,IA_Messiaen.wav,IA_Mozart.wav,IA_MozartActI.wav,IA_MozartActII.wav,IA_Prescience.wav,IA_SonataI.wav,IA_SonataII.wav
1826,963.7488234,1588.75667,493.9339696,2147.93284,578.6545195,2205.879772,1459.531696,1252.862687,1290.693163,2500.941475,650.4425264,650.4425264,970.0331468,1818.731355,1093.921927,2128.513002,1183.888736,1403.015089,905.4157091,721.0219551,1287.544419,932.5267721,854.6306176,587.6662464,2131.890067,2684.052454,660.6208077,770.4779026,548.3370662,1055.415592,586.9758463,1617.095987,1287.544419,1263.782982,880.8800335,846.5106474,837.1435037,645.5771142
1827,976.1936832,1382.527167,522.9445588,2368.453052,591.205022,2207.116536,1498.233785,1255.624895,1357.557682,2579.395238,669.1659568,669.1659568,930.732925,1762.566183,1121.223804,2062.443534,1254.059618,1474.5206,1097.72634,726.965307,1411.003342,988.3349241,898.4279344,595.5313157,2104.147811,2693.481684,650.808899,712.998998,541.9522267,1053.504576,582.9059283,1555.295115,1411.003342,1336.466938,862.3493146,852.5793458,842.8090455,623.1022108
1828,984.0807982,1225.99031,540.1064183,2277.936601,566.4572546,2569.942964,1578.502605,1174.28468,1293.991356,2600.434915,744.7865464,744.7865464,929.6162979,1821.603854,1097.889802,2013.027509,1360.110145,1392.769417,1263.523994,744.1646075,1359.24202,988.2304867,899.6212387,534.9371856,2051.036507,2693.437651,657.6386701,700.2309656,532.174967,1090.641562,571.1965568,1557.854637,1359.24202,1276.711701,870.8169279,865.6354122,853.120873,609.8202163
1829,975.2288578,1155.268478,524.3539174,2165.056846,564.0050977,2424.002718,1624.743653,1178.775413,1169.873187,2621.431668,749.5077004,749.5077004,929.3177133,1823.770739,1048.137998,2004.246761,1429.033782,1174.843751,1189.435474,761.263999,1408.83096,991.2107232,916.2018772,519.4343076,2118.644762,2697.389526,670.828243,720.5869848,532.3286156,1061.984193,575.3832547,1541.756246,1408.83096,1119.688173,876.8848301,921.7208042,852.4948874,621.820097
1830,994.689955,1104.939068,516.0934166,2151.441852,556.2235857,2169.980976,1541.455444,1181.903815,1103.403902,2623.494022,729.7269021,729.7269021,933.8452771,1743.79055,1028.482622,2008.796845,1525.344157,1559.303301,1169.542365,735.8582081,1445.0348,1010.175106,896.3882605,556.0271892,2090.060861,2683.573834,666.6490449,735.5815446,527.3652938,1000.94396,612.148255,1556.386209,1445.0348,1060.410801,922.259122,956.1381075,823.3162263,622.499563
1831,1000.527067,1036.003229,522.1438263,2230.128071,544.6013718,2053.569182,1585.02037,1383.452687,1181.370091,2514.293374,676.0328149,676.0328149,954.849337,1782.035951,1034.475761,2007.82152,1497.006622,2502.588294,1097.512551,754.743385,1390.685822,1073.470396,865.7572651,576.0829261,2085.120893,2691.611147,673.4747678,706.6470231,540.1036883,1032.053682,587.2937355,1566.422964,1390.685822,990.3582306,867.2811779,1257.668287,797.2430851,626.8387091
1832,992.6010684,1038.905917,544.5731346,2235.101331,549.8080528,2069.930497,1628.155636,1190.083368,1124.934452,2460.158707,654.1498101,654.1498101,964.4173758,1868.360382,1061.586923,2005.660391,1353.956136,2985.222413,1032.034,774.0164519,1253.128467,1105.316169,782.4189116,556.6176585,2139.627635,2690.457701,696.0452791,707.705783,544.9319279,1020.096179,525.1317547,1539.704126,1253.128467,994.7100774,824.2610567,1483.440834,816.7258394,631.4465378
1833,1005.515585,1163.206416,525.8015585,2138.395761,552.2273918,2237.133784,1634.406768,1116.863458,1122.8089,2524.888884,625.3029904,625.3029904,992.0012211,1993.268002,1120.915883,2059.12611,1298.141304,3105.402444,1018.43711,793.0061889,1146.401623,1099.866753,747.7587652,564.2462309,2183.786947,2713.614021,826.2350974,800.3126223,543.5401998,1029.839588,528.0810629,1527.820735,1146.401623,1002.94081,828.0949954,1302.641592,818.0710382,628.409977
1834,1024.549521,1208.562771,536.0941913,2009.312009,549.6627552,2346.635241,1681.895681,1126.803411,1259.54048,2554.6457,642.8297971,642.8297971,1042.796593,1977.057872,1162.676744,2160.23284,1273.61964,3696.084642,1038.624258,792.9444596,1088.604372,1043.90994,772.7394289,582.3599953,1979.870538,2680.717898,984.8384584,735.737358,544.5988666,1048.373045,524.5679741,1558.274291,1088.604372,1016.176857,799.9413748,1198.010998,802.9355911,627.2884864
1835,1048.070796,1383.767773,564.3759143,2012.894339,542.0977648,2090.902503,1619.080912,1154.041245,1328.056659,2507.516992,597.3451218,597.3451218,1068.808548,1878.244084,1178.598818,2186.257295,1323.303983,4216.252786,1033.353632,762.663181,1212.622828,1010.968728,826.4679945,580.333728,1777.064171,2699.927974,961.8054457,663.1285853,545.4604127,1047.212345,544.9113409,1565.55415,1212.622828,966.8487865,815.6156642,1132.208309,804.1463274,632.1452193
