,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
2117,1269.993001,1010.026589,442.6370352,1736.526866,495.7295145,2345.952253,1444.11028,1191.37103,1187.633153,2366.902765,632.3749182,632.3749182,1156.724399,1857.390775,1079.675984,1862.12343,1765.592715,1244.471282,725.7959041
2118,1238.871846,1022.807468,440.12251,1648.997004,503.3213794,2237.703409,1571.972519,1161.359978,1171.291071,2437.054986,641.0085991,641.0085991,1111.861271,1937.755464,1135.747071,1881.541153,1802.072872,1327.715469,723.2012346
2119,1290.471489,1035.987672,431.249917,1595.925103,505.6319202,2275.333708,1581.389691,1184.469495,1140.697132,2418.97478,651.0590386,651.0590386,1081.347221,1962.870256,1104.602594,1763.424061,1718.585907,1333.385591,736.7942955
2120,1310.887524,1075.90932,426.5203477,1565.49764,512.7919132,2258.293983,1629.043529,1200.267621,1116.028899,2461.499225,682.7351091,682.7351091,1103.501109,2074.631804,1107.865019,1718.102988,1648.07203,1371.257292,742.9009905
2121,1314.928399,1012.723887,414.7022185,1627.257369,527.0034149,2383.800577,1644.795789,1108.261662,1072.875781,2406.20437,761.8383082,761.8383082,1133.500105,1996.609401,1084.362256,1701.559802,1776.316293,1395.411369,724.4445667
2122,1258.929139,982.7314046,440.6887463,1763.601288,505.0365946,2551.60101,1675.664642,1031.888983,1164.199672,2380.345775,734.9716381,734.9716381,1133.011938,1938.019424,1087.835143,1667.568779,1805.225579,1421.581555,755.6962999
2123,1276.623048,997.3837011,452.3915874,1837.539523,512.481699,2362.456472,1715.441145,998.3497379,1191.881414,2372.858622,768.8491597,768.8491597,1164.007236,1815.39855,1147.699511,1626.618351,1770.343206,1452.166477,755.594655
2124,1451.707755,1032.967732,447.4651612,1739.090446,513.1710733,2182.883287,1736.162349,1007.795809,1247.133098,2337.987591,775.9335189,775.9335189,1150.642744,1894.495124,1138.943575,1647.377625,1700.565501,1507.204511,753.5503499
2125,1490.287656,999.377769,427.3563566,1681.854132,513.1719834,2136.379456,1818.824629,980.7376441,1205.631198,2431.286283,775.4438287,775.4438287,1172.403531,1983.840521,1102.315954,1743.298,1668.674914,1431.498319,771.7809824
2126,1389.236459,1030.005107,428.0937991,1760.098915,528.0756989,2285.411274,1804.064162,939.3135075,1117.941998,2560.082521,724.3656859,724.3656859,1195.949707,1878.128689,1110.462012,1694.12587,1666.973883,1509.123226,770.0814573
