,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
2187,-282.3728943,-475.7618103,-431.9506531,-134.1112976,-409.0187073,-451.442627,-168.6991425,-178.616684,-191.1371613,-307.8884888,-589.3813477,-589.3813477,-176.7094879,-293.6760254,-358.1872864,-442.4685364,-294.3141479,-260.1929932,-202.4109497
2188,-281.9761353,-470.3054504,-406.5632629,-124.5056534,-402.7961426,-475.1348267,-165.0614624,-173.0377045,-189.0960083,-306.1781006,-598.1858521,-598.1858521,-167.1757813,-282.9749146,-358.8208313,-439.8512573,-295.7541199,-254.6386719,-207.3350067
2189,-296.0354309,-462.4653015,-384.1811218,-119.6385498,-380.4241638,-481.3727417,-158.8279419,-185.5635071,-183.3940125,-301.8851624,-599.5009155,-599.5009155,-164.1325226,-275.0593567,-363.6632385,-440.1207886,-304.4750977,-253.0032654,-210.7285919
2190,-303.8356628,-463.8347778,-396.1194458,-120.4163055,-378.0843506,-483.4823608,-156.244751,-196.7556915,-176.4628906,-303.5673828,-599.5454712,-599.5454712,-165.7540436,-278.0237732,-361.1473389,-442.9976501,-300.155304,-250.9588165,-212.4955902
2191,-309.7320251,-466.2747803,-419.9938049,-129.8179626,-394.623291,-481.0349731,-157.00177,-186.3420715,-177.6540527,-308.4137268,-602.4107056,-602.4107056,-171.9926147,-280.1113586,-354.6282959,-448.8620605,-293.6182251,-243.881958,-214.5193176
2192,-320.2896729,-475.0693054,-414.1035156,-141.8484344,-405.3653564,-480.3404236,-159.6860352,-179.0286865,-179.8313751,-304.4354553,-603.4602051,-603.4602051,-181.6618042,-282.9223022,-358.7268982,-449.5805054,-293.0099182,-238.1934967,-209.6456757
2193,-327.6926575,-469.440033,-360.8956299,-142.5126801,-415.0652771,-486.3130798,-161.4070435,-174.5772552,-172.8067627,-314.8509827,-603.4871216,-603.4871216,-184.1185303,-283.2086182,-370.3664551,-448.3309021,-298.1167297,-248.6720276,-195.1081238
2194,-332.9452209,-458.2430725,-349.5777283,-142.7237701,-423.780426,-496.2846069,-158.4716339,-172.6427612,-164.1710205,-329.129425,-606.9039917,-606.9039917,-190.1109467,-279.2147827,-364.9938049,-446.3604431,-320.3983154,-257.0513916,-199.1778717
2195,-336.3745728,-458.9434204,-347.548645,-132.4694977,-435.5921936,-491.3758545,-156.2205353,-170.4812012,-161.3082886,-333.901123,-608.5134277,-608.5134277,-195.2626038,-283.9433594,-358.517334,-441.2923279,-325.4952087,-279.8125,-212.6040497
2196,-340.0513611,-460.8337097,-338.9668884,-127.4660492,-447.756897,-494.0154114,-159.9337769,-168.2445679,-157.7163086,-330.6849976,-613.3446045,-613.3446045,-198.4284668,-293.0680847,-362.7970581,-444.295105,-318.4884644,-286.2511597,-219.8794708
2197,-336.4516602,-452.5985718,-355.1012268,-134.1106567,-458.2076111,-501.4083557,-157.5733643,-166.9372253,-157.5910645,-324.9323425,-614.2188721,-614.2188721,-200.6716003,-300.2448425,-361.3509216,-442.5346985,-326.3729858,-257.3693848,-229.6339569
2198,-335.2799072,-452.3662109,-372.1054993,-141.2304535,-453.6954041,-505.7122803,-152.3914642,-163.9923401,-152.1065521,-327.1012878,-613.4077759,-613.4077759,-202.7641144,-296.0342102,-362.7506104,-434.6405334,-334.7676697,-246.332077,-240.3234711
2199,-337.8683472,-437.9978638,-366.1740723,-157.7027588,-412.8812866,-509.8256226,-147.7115936,-158.0138855,-148.3257751,-332.8597717,-620.6271973,-620.6271973,-204.0404358,-294.0964661,-360.414978,-425.7992554,-336.8196716,-247.7588501,-245.4281158
2200,-338.8243713,-432.2969666,-329.7719727,-179.6440125,-399.1307068,-491.5960083,-146.5880432,-150.4143219,-152.2724762,-336.5333252,-621.6049194,-621.6049194,-208.7586212,-291.8990479,-359.0236511,-421.2011108,-330.4172668,-259.3908691,-241.3222809
2201,-343.6732788,-435.1846008,-323.2404175,-195.3004456,-408.0768738,-475.9806824,-150.3880005,-151.3832703,-152.362793,-334.4166565,-619.0975952,-619.0975952,-213.66745,-292.93927,-358.4427185,-410.2210999,-317.9325256,-256.4265137,-240.216629
2202,-345.0594177,-445.1485291,-332.9454651,-206.3354492,-416.0884705,-462.8644714,-152.1321869,-160.3575592,-149.8815308,-336.5127258,-618.3842163,-618.3842163,-213.7286377,-297.6424866,-359.2817078,-399.5019531,-320.3807678,-252.6470184,-241.6886139
2203,-343.0205383,-454.0493774,-341.1891174,-208.3910675,-426.5819702,-449.7105103,-152.7844849,-160.8165283,-145.818512,-334.5704651,-619.4777222,-619.4777222,-211.4966278,-302.9109192,-355.2531128,-392.369751,-326.6361694,-252.1189575,-247.0435486
2204,-345.5210266,-446.3792725,-344.2771912,-195.9591827,-431.1904602,-454.0455322,-156.9850616,-159.3063507,-147.8556366,-330.6564941,-623.8238525,-623.8238525,-204.5816956,-305.1577454,-354.7889099,-387.1763611,-324.0235291,-232.9224548,-250.2472534
2205,-348.6336365,-441.6795349,-352.6909485,-162.9249878,-435.3319092,-462.1101685,-159.2771759,-160.6877747,-149.3297119,-328.0395813,-625.4329834,-625.4329834,-200.0931396,-295.9237366,-354.3379211,-381.8024292,-307.0059204,-226.4457703,-255.3445435
2206,-355.1489563,-442.5238037,-362.3762207,-136.3233643,-443.9789429,-464.3017883,-162.0626831,-165.5941772,-146.1417084,-328.9074402,-626.1572876,-626.1572876,-199.1609039,-283.3809814,-356.386261,-373.5722351,-281.4559326,-234.5251007,-265.8404541
2207,-353.7928772,-445.5305176,-366.3822021,-118.2399368,-444.5259094,-466.775238,-160.227478,-163.8679504,-150.9061127,-327.7480469,-621.7059937,-621.7059937,-185.0378113,-275.6339111,-359.040741,-364.8907471,-277.2438049,-237.7510834,-276.274292
2208,-349.3561707,-447.0963135,-370.7142029,-111.6921616,-447.5384521,-468.6209412,-152.0526733,-166.6869049,-149.1946259,-330.0090332,-619.446167,-619.446167,-168.1759338,-286.3295898,-356.6294861,-358.9112549,-269.3551331,-232.2322388,-276.4220886
2209,-348.3234558,-439.1009521,-376.4929199,-124.1794357,-453.2418823,-471.3787231,-146.4320374,-164.5347595,-153.3948669,-335.8439941,-617.737854,-617.737854,-163.775238,-299.3919678,-357.8436279,-355.748291,-260.1546936,-224.4016571,-270.503418
2210,-349.2015076,-444.1359558,-382.2119141,-150.0454102,-456.7545471,-477.6177368,-152.9907684,-161.8495178,-156.2273407,-331.5014954,-615.7481079,-615.7481079,-171.7478638,-306.8114319,-355.6325989,-348.1879272,-257.3514404,-209.002655,-263.0499878
2211,-349.6724243,-447.5019226,-390.7070923,-167.0537109,-457.5951843,-486.2991333,-159.7969971,-160.6144714,-149.6164246,-328.0412598,-620.6882935,-620.6882935,-175.8816681,-304.5151062,-356.9972534,-339.8707275,-262.2596741,-201.6148987,-257.7957764
2212,-350.4752502,-445.6979675,-388.629364,-175.7518463,-443.021637,-483.468811,-158.6460114,-158.0968781,-148.6524811,-322.1481934,-621.8699341,-621.8699341,-178.7927246,-306.7267761,-353.2795105,-333.5144043,-268.7929688,-188.7579803,-258.2965698
2213,-349.8716431,-442.6078491,-359.3462524,-188.3527679,-430.3240662,-485.9064331,-158.8443298,-157.1393433,-150.3404846,-321.3283997,-618.8843384,-618.8843384,-186.2853851,-319.8739319,-352.6462708,-321.5318604,-275.9947815,-183.6093597,-267.802002
2214,-348.0652466,-438.3431091,-346.3960571,-198.9187927,-430.9598389,-483.4085083,-163.3064575,-159.1986389,-148.5576019,-313.1743774,-618.6118164,-618.6118164,-190.4039917,-329.0960083,-356.3815918,-313.2417297,-270.9300842,-180.4672089,-279.2896729
2215,-346.0136414,-443.9715576,-357.6871948,-199.8204346,-432.8518982,-468.512085,-164.2608185,-154.7268829,-155.0317383,-306.0992737,-617.3505859,-617.3505859,-195.2825775,-327.5571899,-362.5456543,-307.0525208,-277.9924622,-191.0139465,-282.5992432
2216,-343.0638733,-446.2424316,-369.1534119,-173.0028381,-436.3295898,-464.1386719,-168.4245911,-156.3408813,-160.3293457,-310.355896,-614.5632935,-614.5632935,-204.5381012,-321.287262,-369.1693726,-307.5789795,-296.4473572,-202.1884766,-284.9867249
2217,-337.8980713,-451.2693481,-373.0784912,-132.5952301,-442.2274475,-471.0683594,-168.4278412,-155.3206635,-156.989502,-318.3145752,-616.663208,-616.663208,-214.3697052,-329.1321411,-369.1892395,-304.3739929,-297.5718079,-195.2992249,-255.5643005
2218,-336.482666,-450.7757874,-329.6236267,-115.2761612,-445.674408,-483.2342224,-169.5383911,-152.802536,-158.4371033,-319.4496765,-615.7399292,-615.7399292,-214.7588196,-333.3109741,-368.1376038,-301.8702393,-291.0496216,-191.7024536,-228.5038147
2219,-339.7254944,-453.2770691,-286.187439,-105.2716827,-448.573761,-483.0010986,-170.9051056,-154.7164154,-162.84935,-319.2001648,-609.2139893,-609.2139893,-212.4554596,-328.6735229,-371.2756653,-296.1755066,-289.6435242,-195.2064209,-221.2968445
2220,-340.2664185,-457.9146118,-286.8123169,-105.3115311,-449.032135,-471.8221741,-175.0888062,-155.6757507,-167.2841339,-317.0636597,-607.6781006,-607.6781006,-212.7033997,-331.7366943,-374.0229187,-289.5423889,-298.5941772,-185.662735,-218.2864532
2221,-337.2734985,-446.5811157,-311.5048218,-120.9659882,-453.7559814,-465.9873352,-176.1881866,-156.3088226,-171.1897583,-312.1464539,-608.3594971,-608.3594971,-213.9073944,-338.9592896,-363.9845581,-283.9702454,-313.0680237,-186.5292816,-224.7311707
