,IA_AnotherRag.wav,IA_Bach.wav,IA_Beethoven.wav,IA_Breathless.wav,IA_Chopin.wav,IA_ComingHome.wav,IA_FromTheWillowsKeep.wav,IA_InventionNo1.wav,IA_InventionNo2.wav,IA_InventionNo3.wav,IA_Mahler.wav,IA_Mazurka.wav,IA_Messiaen.wav,IA_Mozart.wav,IA_MozartActI.wav,IA_MozartActII.wav,IA_Prescience.wav,IA_SonataI.wav,IA_SonataII.wav,IA_SpaceTime.wav,IA_Suite.wav,IA_\Vivaldi.wav
343,-355.8667297,-510.3923035,-352.1723633,-305.1503296,-648.1878052,-443.1148071,-602.484314,-377.3813782,-261.1875305,-275.4022217,-429.9074402,-355.7582092,-388.2058105,-510.3923035,-463.2576904,-380.6020813,-703.1262817,-374.597229,-333.3193665,-714.4877319,-481.3682861,-265.7658081
344,-356.3461304,-510.3923035,-347.6557922,-298.3639221,-648.1878052,-437.9042664,-603.4355469,-377.6836243,-292.1289063,-294.8901062,-426.6055908,-363.6491699,-386.7799683,-510.3923035,-462.4855347,-393.4152222,-705.5939941,-371.115387,-335.0211182,-714.4442139,-483.1755371,-251.8497467
345,-360.2218018,-510.3923035,-343.2825928,-294.3728027,-648.1878052,-440.5441895,-603.125061,-351.5803223,-307.0984802,-301.0747986,-424.5339661,-369.2537231,-385.1878967,-510.3923035,-457.540802,-398.5787964,-705.3716431,-369.7467041,-338.232666,-715.0835571,-484.7414856,-242.7106476
346,-364.6777039,-510.3923035,-341.9553833,-291.9632263,-648.1878052,-410.1166077,-603.8840942,-307.8120422,-315.0870972,-306.8949585,-430.9599609,-371.6773987,-387.7807312,-510.3923035,-448.190979,-413.4231873,-704.0953369,-368.2684937,-339.0664978,-715.1960449,-482.1322632,-232.0959778
347,-370.1209412,-510.3923035,-338.9790039,-293.9020691,-648.1878052,-373.5174866,-604.0136719,-300.4512939,-323.4677734,-312.7891846,-437.3116455,-346.9588013,-389.8520813,-510.3923035,-447.7529907,-345.1672668,-700.9217529,-370.1091003,-340.4171448,-715.0751953,-484.6491394,-224.0269165
348,-371.6289368,-409.929657,-339.8442688,-295.272583,-648.1878052,-374.7018433,-604.9989624,-321.6672363,-333.2841797,-317.3942261,-438.954834,-315.1178284,-387.1890869,-409.929657,-446.1235657,-315.6168213,-698.2796631,-371.5885925,-340.1620483,-715.2313232,-484.1799316,-229.4588928
349,-373.7109375,-297.5691223,-343.9395752,-290.5389709,-648.1878052,-394.5817261,-605.7930908,-331.7023315,-316.4338684,-323.9685669,-439.203949,-321.7363892,-388.5699768,-297.5691223,-448.706543,-338.3283691,-696.6987915,-372.3291626,-346.1370544,-715.7548218,-486.2693481,-244.315979
350,-375.1544189,-238.5270081,-342.2085876,-293.7027283,-648.1878052,-405.2587585,-606.1364746,-341.423584,-247.6728058,-327.4464111,-444.1029663,-339.5803833,-388.9473572,-238.5270081,-465.4046936,-363.6284485,-694.3338623,-371.8487244,-350.793457,-715.1361084,-490.2643127,-261.6630249
351,-374.927124,-200.9879608,-344.1460266,-300.3206482,-648.1878052,-409.7608643,-606.538269,-349.4893799,-233.4577484,-329.9193726,-452.0769653,-349.405304,-387.0266418,-200.9879608,-465.8991089,-369.1354065,-692.9134521,-374.1648865,-352.7142334,-714.829895,-490.6714172,-269.4237366
352,-376.1403198,-171.3287506,-349.7523499,-302.3826294,-648.1878052,-412.5076294,-606.7556763,-354.7031555,-260.700592,-336.5765076,-457.5949402,-351.2857056,-384.7084351,-171.3287506,-466.4616394,-385.0803223,-687.8659058,-375.6784668,-352.6916504,-714.7224121,-490.694519,-280.270813
353,-370.6175232,-146.7680969,-354.462677,-296.3334656,-648.1878052,-418.9938965,-607.4642334,-356.4775085,-278.1394958,-341.3195496,-459.2900085,-315.6880798,-384.7080383,-146.7680969,-474.9550476,-416.8659363,-689.0014648,-369.9173889,-353.793396,-715.519043,-492.6851807,-296.302063
354,-338.2868042,-136.6802368,-357.1708679,-297.9281006,-648.1878052,-421.3247986,-608.1329956,-362.7626038,-288.4838562,-346.8535156,-461.2759094,-292.9016418,-385.460968,-136.6802368,-484.164032,-440.9068909,-689.78302,-370.2427368,-351.0496521,-716.2401733,-491.1491394,-305.5223083
355,-240.4657593,-137.910675,-351.7634888,-301.3033142,-648.1878052,-427.4412842,-608.7493286,-367.2791748,-303.3018799,-323.9607849,-467.8390503,-291.4342346,-389.7737122,-137.910675,-487.5690308,-452.5700989,-690.9498901,-376.3764038,-340.5970154,-716.5541382,-486.1047058,-314.7881165
356,-192.6681671,-142.8769073,-351.7703247,-305.8513489,-648.1878052,-427.3643494,-609.229248,-372.7691345,-308.639801,-245.6867218,-471.2787781,-285.3648071,-391.2041321,-142.8769073,-485.1512146,-461.9510803,-685.0772095,-382.4650879,-335.9446106,-716.4676514,-433.3545837,-323.4828186
